# IRC section -> PDF page -> title | Source: IRC PDF, Release Point 119-102 (Aug 2026), 7,171 pages | Regenerate: pdftotext + regex ^§(sec)\. per page
534	2979	Burden of proof
535	2980	Accumulated taxable income
536	2986	Income not placed on annual basis
537	2986	Reasonable needs of the business
541	2987	Imposition of personal holding company tax
542	2989	Definition of personal holding company
543	2995	Personal holding company income
544	3005	Rules for determining stock ownership
545	3006	Undistributed personal holding company income
546	3011	Income not placed on annual basis
547	3011	Deduction for deficiency dividends
561	3014	Definition of deduction for dividends paid
562	3015	Rules applicable in determining dividends eligible for dividends paid
563	3018	Rules relating to dividends paid after close of taxable year
564	3019	Dividend carryover
565	3020	Consent dividends
581	3021	Definition of bank
582	3022	Bad debts, losses, and gains with respect to securities held by financial
584	3025	Common trust funds
585	3030	Reserves for losses on loans of banks
591	3036	Deduction for dividends paid on deposits
593	3037	Reserves for losses on loans
594	3046	Alternative tax for mutual savings banks conducting life insurance business
597	3048	Treatment of transactions in which Federal financial assistance provided
611	3051	Allowance of deduction for depletion
612	3052	Basis for cost depletion
613	3053	Percentage depletion
613A	3060	Limitations on percentage depletion in case of oil and gas wells
614	3071	Definition of property
616	3076	Development expenditures
617	3078	Deduction and recapture of certain mining exploration expenditures
631	3083	Gain or loss in the case of timber, coal, or domestic iron ore
636	3087	Income tax treatment of mineral production payments
638	3088	Continental shelf areas
641	3089	Imposition of tax
642	3091	Special rules for credits and deductions
643	3099	Definitions applicable to subparts A, B, C, and D
644	3106	Taxable year of trusts
645	3107	Certain revocable trusts treated as part of estate
646	3108	Tax treatment of electing Alaska Native Settlement Trusts
651	3111	Deduction for trusts distributing current income only
652	3112	Inclusion of amounts in gross income of beneficiaries of trusts distributing
661	3113	Deduction for estates and trusts accumulating income or distributing
662	3113	Inclusion of amounts in gross income of beneficiaries of estates and trusts
663	3115	Special rules applicable to sections 661 and 662
664	3116	Charitable remainder trusts
665	3123	Definitions applicable to subpart D
666	3127	Accumulation distribution allocated to preceding years
667	3129	Treatment of amounts deemed distributed by trust in preceding years
668	3133	Interest charge on accumulation distributions from foreign trusts
671	3136	Trust income, deductions, and credits attributable to grantors and others
672	3137	Definitions and rules
673	3140	Reversionary interests
674	3141	Power to control beneficial enjoyment
675	3144	Administrative powers
676	3145	Power to revoke
677	3145	Income for benefit of grantor
678	3146	Person other than grantor treated as substantial owner
679	3147	Foreign trusts having one or more United States beneficiaries
681	3152	Limitation on charitable deduction
683	3153	Use of trust as an exchange fund
684	3153	Recognition of gain on certain transfers to certain foreign trusts and estates
685	3154	Treatment of funeral trusts
691	3156	Recipients of income in respect of decedents
692	3162	Income taxes of members of Armed Forces, astronauts, and victims of
701	3167	Partners, not partnership, subject to tax
702	3167	Income and credits of partner
703	3169	Partnership computations
704	3171	Partner's distributive share
705	3175	Determination of basis of partner's interest
706	3176	Taxable years of partner and partnership
707	3181	Transactions between partner and partnership
708	3184	Continuation of partnership
709	3185	Treatment of organization and syndication fees
721	3186	Nonrecognition of gain or loss on contribution
722	3187	Basis of contributing partner's interest
723	3188	Basis of property contributed to partnership
724	3188	Character of gain or loss on contributed unrealized receivables, inventory
731	3190	Extent of recognition of gain or loss on distribution
732	3194	Basis of distributed property other than money
733	3197	Basis of distributee partner's interest
734	3198	Adjustment to basis of undistributed partnership property where section
735	3199	Character of gain or loss on disposition of distributed property
736	3200	Payments to a retiring partner or a deceased partner's successor in interest
737	3202	Recognition of precontribution gain in case of certain distributions to
741	3203	Recognition and character of gain or loss on sale or exchange
742	3204	Basis of transferee partner's interest
743	3204	Special rules where section 754 election or substantial built-in loss
751	3207	Unrealized receivables and inventory items
752	3212	Treatment of certain liabilities
753	3213	Partner receiving income in respect of decedent
754	3213	Manner of electing optional adjustment to basis of partnership property
755	3213	Rules for allocation of basis
761	3214	Terms defined
801	3218	Tax imposed
803	3225	Life insurance gross income
804	3226	Life insurance deductions
805	3227	General deductions
807	3233	Rules for certain reserves
808	3241	Policyholder dividends deduction
811	3245	Accounting provisions
812	3247	Definition of company's share and policyholder's share
814	3250	Contiguous country branches of domestic life insurance companies
816	3253	Life insurance company defined
817	3256	Treatment of variable contracts
817A	3260	Special rules for modified guaranteed contracts
818	3263	Other definitions and special rules
831	3268	Tax on insurance companies other than life insurance companies
832	3273	Insurance company taxable income
833	3288	Treatment of Blue Cross and Blue Shield organizations, etc.
834	3293	Determination of taxable investment income
835	3297	Election by reciprocal
841	3299	Credit for foreign taxes
842	3300	Foreign companies carrying on insurance business
843	3304	Annual accounting period
845	3305	Certain reinsurance agreements
846	3305	Discounted unpaid losses defined
848	3310	Capitalization of certain policy acquisition expenses
851	3316	Definition of regulated investment company
852	3324	Taxation of regulated investment companies and their shareholders
853	3343	Foreign tax credit allowed to shareholders
853A	3345	Credits from tax credit bonds allowed to shareholders
854	3347	Limitations applicable to dividends received from regulated investment
855	3352	Dividends paid by regulated investment company after close of taxable
856	3354	Definition of real estate investment trust
857	3387	Taxation of real estate investment trusts and their beneficiaries
858	3407	Dividends paid by real estate investment trust after close of taxable year
859	3408	Adoption of annual accounting period
860	3410	Deduction for deficiency dividends
860A	3413	Taxation of REMIC's
860B	3414	Taxation of holders of regular interests
860C	3415	Taxation of residual interests
860D	3417	REMIC defined
860E	3418	Treatment of income in excess of daily accruals on residual interests
860F	3423	Other rules
860G	3426	Other definitions and special rules
861	3433	Income from sources within the United States
862	3446	Income from sources without the United States
863	3449	Special rules for determining source
864	3453	Definitions and special rules
865	3472	Source rules for personal property sales
871	3480	Tax on nonresident alien individuals
872	3501	Gross income
873	3504	Deductions
874	3505	Allowance of deductions and credits
